model,threshold,balanced_accuracy,mcc,roc_auc,average_precision,precision,recall,specificity,f1_score,true_negative,false_positive,false_negative,true_positive
Mordred mRMR XGBoost - 300 features,0.34,0.8296998839388399,0.6934465231656947,0.9508777216752051,0.9864016216278446,0.9273864110045853,0.9561629706034038,0.703236797274276,0.941554869016886,2064,871,510,11124
Mordred mRMR XGBoost - 300 features,0.35,0.8314816555715947,0.6937223119835704,0.9508777216752051,0.9864016216278446,0.9284400601906035,0.9546157813305828,0.7083475298126065,0.9413459908459061,2079,856,528,11106
Mordred mRMR XGBoost - 300 features,0.36,0.8359047484331158,0.6982016151039595,0.9508777216752051,0.9864016216278446,0.9306814367237328,0.9532405019769641,0.7185689948892675,0.9418259023354565,2109,826,544,11090
Mordred mRMR XGBoost - 300 features,0.37,0.8378983031290241,0.6984833846090225,0.9508777216752051,0.9864016216278446,0.9318908907223439,0.9514354478253395,0.7243611584327087,0.9415617556992174,2126,809,565,11069
Mordred mRMR XGBoost - 300 features,0.38,0.8398918578249324,0.6988141982852663,0.9508777216752051,0.9864016216278446,0.9331081081081081,0.9496303936737149,0.7301533219761499,0.9412967538553293,2143,792,586,11048
Mordred mRMR XGBoost - 300 features,0.39,0.8427372012772292,0.7004504547157894,0.9508777216752051,0.9864016216278446,0.9347291684326524,0.9478253395220905,0.737649063032368,0.9412317015919082,2165,770,607,11027
Mordred mRMR XGBoost - 300 features,0.4,0.8448581362446146,0.7009437015632018,0.9508777216752051,0.9864016216278446,0.936038104958748,0.9459343304108647,0.7437819420783646,0.9409601983668933,2183,752,629,11005
Mordred mRMR XGBoost - 300 features,0.41,0.8464695501260917,0.7012008415141008,0.9508777216752051,0.9864016216278446,0.9370575692963753,0.9443871411380437,0.7485519591141397,0.9407080782567747,2197,738,647,10987
Mordred mRMR XGBoost - 300 features,0.42,0.8472690483951315,0.6994871360135749,0.9508777216752051,0.9864016216278446,0.937804773718881,0.9422382671480144,0.7522998296422487,0.940016292929726,2208,727,672,10962
Mordred mRMR XGBoost - 300 features,0.43,0.8487515298372069,0.6992909586190348,0.9508777216752051,0.9864016216278446,0.9388192895143298,0.9404332129963899,0.7570698466780239,0.9396255582274132,2222,713,693,10941
Mordred mRMR XGBoost - 300 features,0.44,0.8508294873247917,0.6997940395975465,0.9508777216752051,0.9864016216278446,0.9401532765004736,0.938456248925563,0.7632027257240205,0.9393039962145653,2240,695,716,10918
Mordred mRMR XGBoost - 300 features,0.45,0.8535060251937354,0.7018798604579299,0.9508777216752051,0.9864016216278446,0.9416897028334485,0.9369950146123431,0.7700170357751278,0.9393364928909953,2260,675,733,10901
Mordred mRMR XGBoost - 300 features,0.46,0.8552417150108402,0.7015325451730321,0.9508777216752051,0.9864016216278446,0.942941380506417,0.9346742307031116,0.775809199318569,0.9387896054562721,2277,658,760,10874
Mordred mRMR XGBoost - 300 features,0.47,0.8561670413834326,0.6997386034699455,0.9508777216752051,0.9864016216278446,0.9438593437200801,0.9320955819150765,0.7802385008517888,0.9379405786446395,2290,645,790,10844
Mordred mRMR XGBoost - 300 features,0.48,0.8582864241828934,0.7001885352311005,0.9508777216752051,0.9864016216278446,0.9452988465571478,0.9298607529654461,0.7867120954003407,0.9375162492417021,2309,626,816,10818
Mordred mRMR XGBoost - 300 features,0.49,0.8591288999317339,0.6990071241624018,0.9508777216752051,0.9864016216278446,0.9460951880094662,0.927797833935018,0.7904599659284497,0.9368571800546803,2320,615,840,10794
Mordred mRMR XGBoost - 300 features,0.5,0.8607817391250868,0.6993623057956049,0.9508777216752051,0.9864016216278446,0.9472434713795832,0.9259927797833934,0.7955706984667802,0.9364975876907028,2335,600,861,10773
Mordred mRMR XGBoost - 300 features,0.51,0.86273076417327,0.6997045137262012,0.9508777216752051,0.9864016216278446,0.9486274163650807,0.9237579508337631,0.8017035775127769,0.936027522536254,2353,582,887,10747
Mordred mRMR XGBoost - 300 features,0.52,0.8642562230951458,0.7000403982195983,0.9508777216752051,0.9864016216278446,0.9497122620628596,0.9220388516417397,0.8064735945485519,0.9356709843429718,2367,568,907,10727
Mordred mRMR XGBoost - 300 features,0.53,0.8644586931507515,0.6977973453671371,0.9508777216752051,0.9864016216278446,0.9502664298401421,0.9197180677325082,0.8091993185689949,0.9347427273521447,2375,560,934,10700
Mordred mRMR XGBoost - 300 features,0.54,0.8666624787418888,0.6984701216289697,0.9508777216752051,0.9864016216278446,0.9518373171601855,0.9173113288636754,0.8160136286201022,0.9342554495316466,2395,540,962,10672
Mordred mRMR XGBoost - 300 features,0.55,0.8677597150336835,0.6977405965898877,0.9508777216752051,0.9864016216278446,0.9528327217399087,0.915076499914045,0.8204429301533219,0.9335730258254045,2408,527,988,10646
